League,BirthPlace,Count,LeagueTotal,Percentage,Rank
MLB,"San Antonio, TX",24,7541,0.3182601776952659,26.0
NBA,"Nashville, TN",16,4177,0.38305003591094083,26.0
NBA,"San Diego, CA",16,4177,0.38305003591094083,26.0
NFL,"Milwaukee, WI",93,24104,0.3858280783272486,26.0
MLB,"Torrance, CA",23,7541,0.3049993369579631,27.0
NBA,"Gary, IN",15,4177,0.35910940866650704,27.0
NBA,"Toledo, OH",15,4177,0.35910940866650704,27.0
NFL,"Baton Rouge, LA",92,24104,0.38167938931297707,27.0
MLB,"Columbus, OH",22,7541,0.2917384962206604,28.0
MLB,"Fullerton, CA",22,7541,0.2917384962206604,28.0
NBA,"Boston, MA",14,4177,0.33516878142207324,28.0
NBA,"Buffalo, NY",14,4177,0.33516878142207324,28.0
NBA,"Jersey City, NJ",14,4177,0.33516878142207324,28.0
NFL,"Louisville, KY",87,24104,0.3609359442416196,28.0
MLB,"INpolis, IN",21,7541,0.2784776554833576,29.0
MLB,"Louisville, KY",21,7541,0.2784776554833576,29.0
NBA,"Charlotte, NC",13,4177,0.3112281541776395,29.0
NBA,"Miami, FL",13,4177,0.3112281541776395,29.0
NFL,"Oakland, CA",86,24104,0.35678725522734817,29.0
MLB,"Baton Rouge, LA",20,7541,0.2652168147460549,30.0
MLB,"Downey, CA",20,7541,0.2652168147460549,30.0
NBA,"Akron, OH",12,4177,0.28728752693320564,30.0
NBA,"Richmond, VA",12,4177,0.28728752693320564,30.0
NBA,"Tulsa, OK",12,4177,0.28728752693320564,30.0
NBA,"Winston Salem, NC",12,4177,0.28728752693320564,30.0
NFL,"Denver, CO",85,24104,0.35263856621307665,30.0
NFL,"Tampa, FL",85,24104,0.35263856621307665,30.0
MLB,"Bakersfield, CA",19,7541,0.25195597400875214,31.0
MLB,"Buffalo, NY",19,7541,0.25195597400875214,31.0
MLB,"Jersey City, NJ",19,7541,0.25195597400875214,31.0
MLB,"Omaha, NE",19,7541,0.25195597400875214,31.0
NBA,"Fort Wayne, IN",11,4177,0.26334689968877184,31.0
NBA,"Jacksonville, FL",11,4177,0.26334689968877184,31.0
NBA,"Melbourne, Australia",11,4177,0.26334689968877184,31.0
NBA,"Oklahoma City, OK",11,4177,0.26334689968877184,31.0
NBA,"Raleigh, NC",11,4177,0.26334689968877184,31.0
NBA,"Rochester, NY",11,4177,0.26334689968877184,31.0
NBA,"Salt Lake City, UT",11,4177,0.26334689968877184,31.0
NBA,"San Antonio, TX",11,4177,0.26334689968877184,31.0
NFL,"Dayton, OH",84,24104,0.3484898771988052,31.0
MLB,"Austin, TX",18,7541,0.2386951332714494,32.0
MLB,"Glendale, CA",18,7541,0.2386951332714494,32.0
MLB,"Inglewood, CA",18,7541,0.2386951332714494,32.0
MLB,"Milwaukee, WI",18,7541,0.2386951332714494,32.0
MLB,"Minneapolis, MN",18,7541,0.2386951332714494,32.0
MLB,"Pasadena, CA",18,7541,0.2386951332714494,32.0
NBA,"Hartford, CT",10,4177,0.23940627244433804,32.0
NBA,"Kansas City, MO",10,4177,0.23940627244433804,32.0
NBA,"Las Vegas, NV",10,4177,0.23940627244433804,32.0
NBA,"Little Rock, AR",10,4177,0.23940627244433804,32.0
NBA,"Mobile, AL",10,4177,0.23940627244433804,32.0
NBA,"Riverside, CA",10,4177,0.23940627244433804,32.0
NBA,"Sacramento, CA",10,4177,0.23940627244433804,32.0
NBA,"Toronto, Canada",10,4177,0.23940627244433804,32.0
NFL,"Boston, MA",83,24104,0.3443411881845337,32.0
MLB,"Stockton, CA",17,7541,0.22543429253414665,33.0
MLB,"West Palm Beach, FL",17,7541,0.22543429253414665,33.0
MLB,"Wichita, KS",17,7541,0.22543429253414665,33.0
NBA,"Belgrade, Serbia",9,4177,0.21546564519990424,33.0
NBA,"Canton, OH",9,4177,0.21546564519990424,33.0
NBA,"Columbia, SC",9,4177,0.21546564519990424,33.0
NBA,"Compton, CA",9,4177,0.21546564519990424,33.0
NBA,"Inglewood, CA",9,4177,0.21546564519990424,33.0
NBA,"Monroe, LA",9,4177,0.21546564519990424,33.0
NBA,"Mount Vernon, NY",9,4177,0.21546564519990424,33.0
NBA,"San Jose, CA",9,4177,0.21546564519990424,33.0
NBA,"Shreveport, LA",9,4177,0.21546564519990424,33.0
NBA,"Trenton, NJ",9,4177,0.21546564519990424,33.0
NFL,"INpolis, IN",82,24104,0.34019249917026223,33.0
NFL,"Shreveport, LA",82,24104,0.34019249917026223,33.0
MLB,"Fort Lauderdale, FL",16,7541,0.2121734517968439,34.0
MLB,"Grand Rapids, MI",16,7541,0.2121734517968439,34.0
MLB,"New Haven, CT",16,7541,0.2121734517968439,34.0
MLB,"Providence, RI",16,7541,0.2121734517968439,34.0
MLB,"San Juan, PR",16,7541,0.2121734517968439,34.0
MLB,"Shreveport, LA",16,7541,0.2121734517968439,34.0
NBA,"Augusta, GA",8,4177,0.19152501795547042,34.0
NBA,"Fort Worth, TX",8,4177,0.19152501795547042,34.0
NBA,"Fresno, CA",8,4177,0.19152501795547042,34.0
NBA,"Kansas City, KS",8,4177,0.19152501795547042,34.0
NBA,"Lexington, KY",8,4177,0.19152501795547042,34.0
NBA,"Saginaw, MI",8,4177,0.19152501795547042,34.0
NBA,"Split, Croatia",8,4177,0.19152501795547042,34.0
NFL,"Mobile, AL",81,24104,0.3360438101559907,34.0
MLB,"Bronx, NY",15,7541,0.19891261105954117,35.0
MLB,"Charlotte, NC",15,7541,0.19891261105954117,35.0
MLB,"Mobile, AL",15,7541,0.19891261105954117,35.0
MLB,"Phoenix, AZ",15,7541,0.19891261105954117,35.0
MLB,"Riverside, CA",15,7541,0.19891261105954117,35.0
MLB,"Toledo, OH",15,7541,0.19891261105954117,35.0
NBA,"Bakersfield, CA",7,4177,0.16758439071103662,35.0
NBA,"Denver, CO",7,4177,0.16758439071103662,35.0
NBA,"Grand Rapids, MI",7,4177,0.16758439071103662,35.0
NBA,"Greensboro, NC",7,4177,0.16758439071103662,35.0
NBA,"Greenville, SC",7,4177,0.16758439071103662,35.0
NBA,"Harvey, IL",7,4177,0.16758439071103662,35.0
NBA,"Kaunas, Lithuania",7,4177,0.16758439071103662,35.0
NBA,"Marietta, GA",7,4177,0.16758439071103662,35.0
NBA,"Montreal, Canada",7,4177,0.16758439071103662,35.0
NBA,"Orlando, FL",7,4177,0.16758439071103662,35.0
NBA,"Peoria, IL",7,4177,0.16758439071103662,35.0
NBA,"Phoenix, AZ",7,4177,0.16758439071103662,35.0
NBA,"Savannah, GA",7,4177,0.16758439071103662,35.0
NBA,"South Bend, IN",7,4177,0.16758439071103662,35.0
NBA,"Syracuse, NY",7,4177,0.16758439071103662,35.0
NBA,"Tacoma, WA",7,4177,0.16758439071103662,35.0
NFL,"Fort Lauderdale, FL",78,24104,0.32359774311317624,35.0
MLB,"Covina, CA",14,7541,0.18565177032223842,36.0
MLB,"Joliet, IL",14,7541,0.18565177032223842,36.0
MLB,"Knoxville, TN",14,7541,0.18565177032223842,36.0
MLB,"Orlando, FL",14,7541,0.18565177032223842,36.0
MLB,"Springfield, IL",14,7541,0.18565177032223842,36.0
MLB,"Syracuse, NY",14,7541,0.18565177032223842,36.0
MLB,"Wilmington, DE",14,7541,0.18565177032223842,36.0
MLB,"Worcester, MA",14,7541,0.18565177032223842,36.0
NBA,"Bridgeport, CT",6,4177,0.14364376346660282,36.0
NBA,"Camden, NJ",6,4177,0.14364376346660282,36.0
NBA,"Dakar, Senegal",6,4177,0.14364376346660282,36.0
NBA,"Elizabeth, NJ",6,4177,0.14364376346660282,36.0
NBA,"Evanston, IL",6,4177,0.14364376346660282,36.0
NBA,Georgia,6,4177,0.14364376346660282,36.0
NBA,"Lansing, MI",6,4177,0.14364376346660282,36.0
NBA,"London, United Kingdom",6,4177,0.14364376346660282,36.0
NBA,"Madrid, Spain",6,4177,0.14364376346660282,36.0
NBA,"Maywood, IL",6,4177,0.14364376346660282,36.0
NBA,"Montgomery, AL",6,4177,0.14364376346660282,36.0
NBA,"Muncie, IN",6,4177,0.14364376346660282,36.0
NBA,"New Haven, CT",6,4177,0.14364376346660282,36.0
NBA,"Norfolk, VA",6,4177,0.14364376346660282,36.0
NBA,"Omaha, NE",6,4177,0.14364376346660282,36.0
NBA,"Racine, WI",6,4177,0.14364376346660282,36.0
NBA,"Silver Spring, MD",6,4177,0.14364376346660282,36.0
NBA,"Tampa, FL",6,4177,0.14364376346660282,36.0
NBA,"Torrance, CA",6,4177,0.14364376346660282,36.0
NBA,"Wilmington, DE",6,4177,0.14364376346660282,36.0
NFL,"Oklahoma City, OK",77,24104,0.31944905409890473,36.0
MLB,"Anaheim, CA",13,7541,0.17239092958493568,37.0
MLB,"Chattanooga, TN",13,7541,0.17239092958493568,37.0
MLB,"Lynwood, CA",13,7541,0.17239092958493568,37.0
MLB,"Orange, CA",13,7541,0.17239092958493568,37.0
MLB,"Pensacola, FL",13,7541,0.17239092958493568,37.0
MLB,"Rio Piedras, PR",13,7541,0.17239092958493568,37.0
MLB,"Salt Lake City, UT",13,7541,0.17239092958493568,37.0
MLB,"San Mateo, CA",13,7541,0.17239092958493568,37.0
MLB,"Santo Domingo, Distrito Nacional",13,7541,0.17239092958493568,37.0
MLB,"Tacoma, WA",13,7541,0.17239092958493568,37.0
NBA,"Berkeley, CA",5,4177,0.11970313622216902,37.0
NBA,"Charleston, SC",5,4177,0.11970313622216902,37.0
NBA,"Chester, PA",5,4177,0.11970313622216902,37.0
NBA,"Columbus, GA",5,4177,0.11970313622216902,37.0
NBA,"Durham, NC",5,4177,0.11970313622216902,37.0
NBA,"East Chicago, IN",5,4177,0.11970313622216902,37.0
NBA,"Gastonia, NC",5,4177,0.11970313622216902,37.0
NBA,"Huntington, West VA",5,4177,0.11970313622216902,37.0
NBA,"Hyattsville, MD",5,4177,0.11970313622216902,37.0
NBA,"Jamaica, NY",5,4177,0.11970313622216902,37.0
NBA,"Kinston, NC",5,4177,0.11970313622216902,37.0
NBA,"Ljubljana, Slovenia",5,4177,0.11970313622216902,37.0
NBA,"Macon, GA",5,4177,0.11970313622216902,37.0
NBA,"Middletown, OH",5,4177,0.11970313622216902,37.0
NBA,"New Brunswick, NJ",5,4177,0.11970313622216902,37.0
NBA,"Paris, France",5,4177,0.11970313622216902,37.0
NBA,"Pasadena, CA",5,4177,0.11970313622216902,37.0
NBA,"Providence, RI",5,4177,0.11970313622216902,37.0
NBA,"Provo, UT",5,4177,0.11970313622216902,37.0
NBA,"Rockford, IL",5,4177,0.11970313622216902,37.0
NBA,"Wichita, KS",5,4177,0.11970313622216902,37.0
NBA,"Wilmington, NC",5,4177,0.11970313622216902,37.0
NBA,"Worcester, MA",5,4177,0.11970313622216902,37.0
NFL,"Sacramento, CA",73,24104,0.3028542980418188,37.0
NFL,"Seattle, WA",73,24104,0.3028542980418188,37.0
MLB,"Beaumont, TX",12,7541,0.15913008884763294,38.0
MLB,"Berkeley, CA",12,7541,0.15913008884763294,38.0
MLB,"Columbus, GA",12,7541,0.15913008884763294,38.0
MLB,"Evansville, IN",12,7541,0.15913008884763294,38.0
MLB,"Las Vegas, NV",12,7541,0.15913008884763294,38.0
MLB,"Little Rock, AR",12,7541,0.15913008884763294,38.0
MLB,"Pomona, CA",12,7541,0.15913008884763294,38.0
MLB,"San Bernardino, CA",12,7541,0.15913008884763294,38.0
MLB,"Van Nuys, CA",12,7541,0.15913008884763294,38.0
MLB,"Whittier, CA",12,7541,0.15913008884763294,38.0
NBA,"Albany, GA",4,4177,0.09576250897773521,38.0
NBA,"Alexandria, VA",4,4177,0.09576250897773521,38.0
NBA,"Athens, Greece",4,4177,0.09576250897773521,38.0
NBA,"Atlantic City, NJ",4,4177,0.09576250897773521,38.0
NBA,"Benton Harbor, MI",4,4177,0.09576250897773521,38.0
NBA,"Buenos Aires, Argentina",4,4177,0.09576250897773521,38.0
NBA,"Cedar Rapids, IA",4,4177,0.09576250897773521,38.0
NBA,"Chesapeake, VA",4,4177,0.09576250897773521,38.0
NBA,"Covington, KY",4,4177,0.09576250897773521,38.0
NBA,"Fayetteville, NC",4,4177,0.09576250897773521,38.0
NBA,"Harrisburg, PA",4,4177,0.09576250897773521,38.0
NBA,"Hopkinsville, KY",4,4177,0.09576250897773521,38.0
NBA,"Huntsville, AL",4,4177,0.09576250897773521,38.0
NBA,"Istanbul, Turkey",4,4177,0.09576250897773521,38.0
