BirthPlace,MLB,NBA,NFL,Total,Rank
"Wautoma, WI",603.0,1347.0,1347.0,3297.0,1846.0
"NA, MO",603.0,1347.0,1347.0,3297.0,1846.0
"Snow Camp, NC",603.0,1347.0,1347.0,3297.0,1846.0
"Woodside, DE",603.0,1347.0,1347.0,3297.0,1846.0
"Samantha, AL",603.0,1347.0,1347.0,3297.0,1846.0
"Jamaica Plain, MA",603.0,1347.0,1347.0,3297.0,1846.0
"Putnam, CT",603.0,1347.0,1347.0,3297.0,1846.0
"Mount Calm, TX",603.0,1347.0,1347.0,3297.0,1846.0
"Bellevue, NE",603.0,1347.0,1347.0,3297.0,1846.0
"Azua, Azua",603.0,1347.0,1347.0,3297.0,1846.0
"Randolph, NJ",603.0,1347.0,1347.0,3297.0,1846.0
"Winthrop, ME",603.0,1347.0,1347.0,3297.0,1846.0
"St. Louis County, MO",603.0,1347.0,1347.0,3297.0,1846.0
"Harrison, AR",603.0,1347.0,1347.0,3297.0,1846.0
"Warrensburg, MO",603.0,1347.0,1347.0,3297.0,1846.0
"Princeton, IN",603.0,1347.0,1347.0,3297.0,1846.0
"Northampton, Northamptonshire",603.0,1347.0,1347.0,3297.0,1846.0
"Justiceburg, TX",603.0,1347.0,1347.0,3297.0,1846.0
"Nassau, New Providence",603.0,1347.0,1347.0,3297.0,1846.0
"Front Royal, VA",603.0,1347.0,1347.0,3297.0,1846.0
"Valmeyer, IL",603.0,1347.0,1347.0,3297.0,1846.0
"Pembroke, NC",603.0,1347.0,1347.0,3297.0,1846.0
"Mexico, Distrito Federal",603.0,1347.0,1347.0,3297.0,1846.0
"Marion County, SC",603.0,1347.0,1347.0,3297.0,1846.0
"Inverness, AL",603.0,1347.0,1347.0,3297.0,1846.0
"Centralia, IL",417.0,458.0,2438.0,3313.0,1989.0
"Freeport, IL",417.0,458.0,2438.0,3313.0,1989.0
"Mamou, LA",417.0,458.0,2438.0,3313.0,1989.0
"New Ulm, MN",417.0,458.0,2438.0,3313.0,1989.0
"Mineola, NY",417.0,458.0,2438.0,3313.0,1989.0
"Westminster, CA",417.0,458.0,2438.0,3313.0,1989.0
"Huntington, NY",417.0,458.0,2438.0,3313.0,1989.0
"Nederland, TX",417.0,458.0,2438.0,3313.0,1989.0
"Whiting, IN",1347.0,458.0,1526.0,3331.0,1997.0
"Anguilla, MS",1347.0,458.0,1526.0,3331.0,1997.0
"Chesterfield, VA",1347.0,458.0,1526.0,3331.0,1997.0
"Jacksonville, AR",1347.0,458.0,1526.0,3331.0,1997.0
"Lodi, CA",1347.0,458.0,1526.0,3331.0,1997.0
"Sandy, UT",1347.0,458.0,1526.0,3331.0,1997.0
"Monticello, FL",1347.0,458.0,1526.0,3331.0,1997.0
"Kings Mountain, NC",1347.0,458.0,1526.0,3331.0,1997.0
"New Castle, DE",1347.0,458.0,1526.0,3331.0,1997.0
"Albany, TX",1347.0,458.0,1526.0,3331.0,1997.0
"Smyrna, TN",1347.0,458.0,1526.0,3331.0,1997.0
"Lakeport, CA",1347.0,458.0,1526.0,3331.0,1997.0
"Scarborough, Canada",1347.0,458.0,1526.0,3331.0,1997.0
"Bethel Park, PA",1347.0,458.0,1526.0,3331.0,1997.0
"Mechanicsburg, PA",1347.0,458.0,1526.0,3331.0,1997.0
"Sheridan, WY",1347.0,458.0,1526.0,3331.0,1997.0
"Odessa, Ukraine",1347.0,458.0,1526.0,3331.0,1997.0
"Capitol Heights, MD",1347.0,458.0,1526.0,3331.0,1997.0
"Bellwood, IL",1347.0,458.0,1526.0,3331.0,1997.0
"Fairfield, TX",1347.0,458.0,1526.0,3331.0,1997.0
"Bangor, ME",1347.0,458.0,1526.0,3331.0,1997.0
"Jamestown, OH",1347.0,458.0,1526.0,3331.0,1997.0
"WA, IA",1347.0,458.0,1526.0,3331.0,1997.0
"Myrtle Beach, SC",1347.0,458.0,1526.0,3331.0,1997.0
"Hays, KS",1347.0,458.0,1526.0,3331.0,1997.0
"Princeton, IL",1347.0,458.0,1526.0,3331.0,1997.0
"Roosevelt, NY",1347.0,458.0,1526.0,3331.0,1997.0
"Sublette, KS",1347.0,458.0,1526.0,3331.0,1997.0
"Coatesville, PA",1347.0,458.0,1526.0,3331.0,1997.0
"Coos Bay, OR",1347.0,458.0,1526.0,3331.0,1997.0
"LaGrange, GA",1347.0,458.0,1526.0,3331.0,1997.0
"Panama City, Panama",1347.0,458.0,1526.0,3331.0,1997.0
"Kirksville, MO",1347.0,458.0,1526.0,3331.0,1997.0
"Tipton, IN",1347.0,458.0,1526.0,3331.0,1997.0
"Ontario, Canada",1347.0,458.0,1526.0,3331.0,1997.0
"Floydada, TX",1347.0,458.0,1526.0,3331.0,1997.0
"Rancho Cucamonga, CA",1347.0,458.0,1526.0,3331.0,1997.0
"Dublin, Ireland",1347.0,458.0,1526.0,3331.0,1997.0
"Dublin, TX",1347.0,458.0,1526.0,3331.0,1997.0
"Stockholm, Sweden",1347.0,458.0,1526.0,3331.0,1997.0
"Southampton, NY",1347.0,458.0,1526.0,3331.0,1997.0
"Lincolnton, NC",1347.0,458.0,1526.0,3331.0,1997.0
"Princeton, NJ",1347.0,458.0,1526.0,3331.0,1997.0
"Las Cruces, NM",1347.0,458.0,1526.0,3331.0,1997.0
"Oslo, Norway",1347.0,458.0,1526.0,3331.0,1997.0
"Danville, CA",1347.0,458.0,1526.0,3331.0,1997.0
"Centreville, AL",1347.0,458.0,1526.0,3331.0,1997.0
"Ferriday, LA",1347.0,458.0,1526.0,3331.0,1997.0
"Pearland, TX",1347.0,458.0,1526.0,3331.0,1997.0
"Homer, LA",1347.0,458.0,1526.0,3331.0,1997.0
"Norcross, GA",1347.0,458.0,1526.0,3331.0,1997.0
"Reynoldsburg, OH",1347.0,458.0,1526.0,3331.0,1997.0
"Glendale, AZ",1347.0,1347.0,697.0,3391.0,2049.0
"Wynne, AR",1347.0,1347.0,697.0,3391.0,2049.0
"Magnolia, MS",1347.0,1347.0,697.0,3391.0,2049.0
"Fostoria, OH",1347.0,1347.0,697.0,3391.0,2049.0
"Duncan, OK",1347.0,1347.0,697.0,3391.0,2049.0
"Vandergrift, PA",1347.0,1347.0,697.0,3391.0,2049.0
"Moncks Corner, SC",1347.0,1347.0,697.0,3391.0,2049.0
"North Charleston, SC",1347.0,1347.0,697.0,3391.0,2049.0
"Gilmer, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Bridgeville, PA",1347.0,1347.0,697.0,3391.0,2049.0
"Kissimmee, FL",1347.0,1347.0,697.0,3391.0,2049.0
"St. Croix, Virgin Islands",1347.0,1347.0,697.0,3391.0,2049.0
"Iron Mountain, MI",1347.0,1347.0,697.0,3391.0,2049.0
"Stillwater, OK",1347.0,1347.0,697.0,3391.0,2049.0
"Clinton, NC",1347.0,1347.0,697.0,3391.0,2049.0
"Gladewater, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Cheraw, SC",1347.0,1347.0,697.0,3391.0,2049.0
"Grapevine, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Helena, AR",1347.0,1347.0,697.0,3391.0,2049.0
"Connellsville, PA",1347.0,1347.0,697.0,3391.0,2049.0
"Oconto, WI",1347.0,1347.0,697.0,3391.0,2049.0
"Puyallup, WA",1347.0,1347.0,697.0,3391.0,2049.0
"Lincolnton, GA",1347.0,1347.0,697.0,3391.0,2049.0
"Madisonville, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Quakertown, PA",1347.0,1347.0,697.0,3391.0,2049.0
"Ballinger, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Carnegie, PA",1347.0,1347.0,697.0,3391.0,2049.0
"Wilmington, OH",1347.0,1347.0,697.0,3391.0,2049.0
"Inverness, FL",1347.0,1347.0,697.0,3391.0,2049.0
"Fairmont, WV",1347.0,1347.0,697.0,3391.0,2049.0
"Linton, IN",1347.0,1347.0,697.0,3391.0,2049.0
"Corinth, MS",1347.0,1347.0,697.0,3391.0,2049.0
"Eufaula, AL",1347.0,1347.0,697.0,3391.0,2049.0
"Colquitt, GA",1347.0,1347.0,697.0,3391.0,2049.0
"Pickerington, OH",1347.0,1347.0,697.0,3391.0,2049.0
"La Grange, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Xenia, OH",1347.0,1347.0,697.0,3391.0,2049.0
"Clay Center, KS",1347.0,1347.0,697.0,3391.0,2049.0
"Beatrice, NE",1347.0,1347.0,697.0,3391.0,2049.0
"Hinsdale, IL",1347.0,1347.0,697.0,3391.0,2049.0
"Clifton, NJ",1347.0,1347.0,697.0,3391.0,2049.0
"Hartsville, SC",1347.0,1347.0,697.0,3391.0,2049.0
"Fort Sill, OK",1347.0,1347.0,697.0,3391.0,2049.0
"Lake Village, AR",1347.0,1347.0,697.0,3391.0,2049.0
"Okmulgee, OK",1347.0,1347.0,697.0,3391.0,2049.0
"Humble, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Bucyrus, OH",1347.0,1347.0,697.0,3391.0,2049.0
"Laie, HI",1347.0,1347.0,697.0,3391.0,2049.0
"Amite, LA",1347.0,1347.0,697.0,3391.0,2049.0
"Valley, AL",1347.0,1347.0,697.0,3391.0,2049.0
"Tustin, CA",1347.0,1347.0,697.0,3391.0,2049.0
"Riverdale, GA",1347.0,1347.0,697.0,3391.0,2049.0
"Hinesville, GA",1347.0,1347.0,697.0,3391.0,2049.0
"Covington, LA",1347.0,1347.0,697.0,3391.0,2049.0
"Ellwood City, PA",1347.0,1347.0,697.0,3391.0,2049.0
"Marksville, LA",1347.0,1347.0,697.0,3391.0,2049.0
"Covington, GA",1347.0,1347.0,697.0,3391.0,2049.0
"Winchester, TN",1347.0,1347.0,697.0,3391.0,2049.0
"Elk Grove, CA",1347.0,1347.0,697.0,3391.0,2049.0
"Katy, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Pawhuska, OK",1347.0,1347.0,697.0,3391.0,2049.0
"Alhambra, CA",1347.0,1347.0,697.0,3391.0,2049.0
"Lawrenceville, GA",1347.0,1347.0,697.0,3391.0,2049.0
"Miamisburg, OH",1347.0,1347.0,697.0,3391.0,2049.0
"Pacoima, CA",1347.0,1347.0,697.0,3391.0,2049.0
"Fort Campbell, KY",1347.0,1347.0,697.0,3391.0,2049.0
"Kingsport, TN",1347.0,1347.0,697.0,3391.0,2049.0
"Silsbee, TX",1347.0,1347.0,697.0,3391.0,2049.0
"Duquesne, PA",1347.0,1347.0,697.0,3391.0,2049.0
"Mount Pleasant, PA",603.0,1347.0,1526.0,3476.0,2118.0
"Pulaski, TN",603.0,1347.0,1526.0,3476.0,2118.0
"Oroville, CA",603.0,1347.0,1526.0,3476.0,2118.0
"Waverly, NY",603.0,1347.0,1526.0,3476.0,2118.0
"Milford, DE",603.0,1347.0,1526.0,3476.0,2118.0
"Rhinelander, WI",603.0,1347.0,1526.0,3476.0,2118.0
"Exeter, NH",603.0,1347.0,1526.0,3476.0,2118.0
"Marshalltown, IA",603.0,1347.0,1526.0,3476.0,2118.0
"Kearny, NJ",603.0,1347.0,1526.0,3476.0,2118.0
"Saugus, MA",603.0,1347.0,1526.0,3476.0,2118.0
"Boone, NC",603.0,1347.0,1526.0,3476.0,2118.0
"Jeffersonville, IN",603.0,1347.0,1526.0,3476.0,2118.0
"Quantico, VA",603.0,1347.0,1526.0,3476.0,2118.0
"South Amboy, NJ",603.0,1347.0,1526.0,3476.0,2118.0
"Cherry Point, NC",603.0,1347.0,1526.0,3476.0,2118.0
"Trenton, MI",603.0,1347.0,1526.0,3476.0,2118.0
"Comanche, OK",603.0,1347.0,1526.0,3476.0,2118.0
"Hillsboro, OR",603.0,1347.0,1526.0,3476.0,2118.0
"Sun Valley, CA",603.0,1347.0,1526.0,3476.0,2118.0
"Cambridge, MD",603.0,1347.0,1526.0,3476.0,2118.0
"Corning, NY",603.0,1347.0,1526.0,3476.0,2118.0
"St. Marys, WV",603.0,1347.0,1526.0,3476.0,2118.0
"Woodland Hills, CA",603.0,1347.0,1526.0,3476.0,2118.0
"Scottdale, PA",603.0,1347.0,1526.0,3476.0,2118.0
"Clinton, SC",603.0,1347.0,1526.0,3476.0,2118.0
"San Benito, TX",603.0,1347.0,1526.0,3476.0,2118.0
"Fredericksburg, TX",603.0,1347.0,1526.0,3476.0,2118.0
"Fort Belvoir, VA",603.0,1347.0,1526.0,3476.0,2118.0
"Brandon, MS",603.0,1347.0,1526.0,3476.0,2118.0
"Hawthorne, CA",603.0,1347.0,1526.0,3476.0,2118.0
"Altamonte Springs, FL",603.0,1347.0,1526.0,3476.0,2118.0
"Highland, IL",603.0,1347.0,1526.0,3476.0,2118.0
"Garden City, KS",603.0,1347.0,1526.0,3476.0,2118.0
"DeLand, FL",603.0,1347.0,1526.0,3476.0,2118.0
"Riverton, WY",603.0,1347.0,1526.0,3476.0,2118.0
"Guthrie, OK",603.0,1347.0,1526.0,3476.0,2118.0
"Coronado, CA",603.0,1347.0,1526.0,3476.0,2118.0
"Littleton, CO",603.0,1347.0,1526.0,3476.0,2118.0
"Lenoir, NC",603.0,1347.0,1526.0,3476.0,2118.0
"Lebanon, OR",603.0,1347.0,1526.0,3476.0,2118.0
"Flagstaff, AZ",603.0,1347.0,1526.0,3476.0,2118.0
"Peabody, MA",603.0,1347.0,1526.0,3476.0,2118.0
"Beeville, TX",603.0,1347.0,1526.0,3476.0,2118.0
"Orange City, IA",603.0,458.0,2438.0,3499.0,2161.0
"Darby, PA",603.0,458.0,2438.0,3499.0,2161.0
"Westerly, RI",603.0,458.0,2438.0,3499.0,2161.0
"Oxford, NC",603.0,458.0,2438.0,3499.0,2161.0
"Fort Rucker, AL",603.0,458.0,2438.0,3499.0,2161.0
"Marysville, OH",1051.0,1347.0,1116.0,3514.0,2166.0
"Lansdowne, PA",1051.0,1347.0,1116.0,3514.0,2166.0
"Winfield, IL",1051.0,1347.0,1116.0,3514.0,2166.0
"Parkin, AR",1051.0,1347.0,1116.0,3514.0,2166.0
"Barnesville, GA",1051.0,1347.0,1116.0,3514.0,2166.0
"Paso Robles, CA",1051.0,1347.0,1116.0,3514.0,2166.0
"Linden, TX",1051.0,1347.0,1116.0,3514.0,2166.0
"Franklin, PA",1051.0,1347.0,1116.0,3514.0,2166.0
"Mendota, IL",1051.0,1347.0,1116.0,3514.0,2166.0
"Milledgeville, GA",1051.0,1347.0,1116.0,3514.0,2166.0
"Lemoore, CA",1051.0,1347.0,1116.0,3514.0,2166.0
"Scott Air Force Base, IL",1051.0,1347.0,1116.0,3514.0,2166.0
"Petoskey, MI",1051.0,1347.0,1116.0,3514.0,2166.0
"Columbus, IN",1051.0,1347.0,1116.0,3514.0,2166.0
"Manhasset, NY",1051.0,1347.0,1116.0,3514.0,2166.0
"Little Falls, MN",1051.0,1347.0,1116.0,3514.0,2166.0
"Tullahoma, TN",1051.0,1347.0,1116.0,3514.0,2166.0
"Bridgewater, MA",1051.0,1347.0,1116.0,3514.0,2166.0
"Normal, IL",1051.0,1347.0,1116.0,3514.0,2166.0
"Lynchburg, TN",1051.0,1347.0,1116.0,3514.0,2166.0
"Valencia, CA",1051.0,1347.0,1116.0,3514.0,2166.0
"Escanaba, MI",1051.0,1347.0,1116.0,3514.0,2166.0
"Manassas, VA",1051.0,1347.0,1116.0,3514.0,2166.0
"Robstown, TX",1051.0,1347.0,1116.0,3514.0,2166.0
"Monroeville, PA",1051.0,1347.0,1116.0,3514.0,2166.0
"Okinawa, Japan",1051.0,1347.0,1116.0,3514.0,2166.0
"Westlake Village, CA",1051.0,1347.0,1116.0,3514.0,2166.0
"South Orange, NJ",1051.0,1347.0,1116.0,3514.0,2166.0
"Morehead City, NC",1051.0,1347.0,1116.0,3514.0,2166.0
"Santa Clarita, CA",1051.0,1347.0,1116.0,3514.0,2166.0
"Mount Vernon, OH",1051.0,1347.0,1116.0,3514.0,2166.0
"Dover, NJ",1051.0,1347.0,1116.0,3514.0,2166.0
"Bemidji, MN",1051.0,1347.0,1116.0,3514.0,2166.0
"Chelsea, MA",1051.0,1347.0,1116.0,3514.0,2166.0
"Mart, TX",1051.0,1347.0,1116.0,3514.0,2166.0
"Canonsburg, PA",1051.0,1347.0,1116.0,3514.0,2166.0
"Coral Springs, FL",1051.0,1347.0,1116.0,3514.0,2166.0
"Easley, SC",1051.0,1347.0,1116.0,3514.0,2166.0
"Statesville, NC",1051.0,1347.0,1116.0,3514.0,2166.0
"Comanche, TX",1051.0,1347.0,1116.0,3514.0,2166.0
"Salina, KS",1051.0,1347.0,1116.0,3514.0,2166.0
"Carthage, TX",1051.0,1347.0,1116.0,3514.0,2166.0
"Magnolia, AR",1051.0,1347.0,1116.0,3514.0,2166.0
"Eagle Lake, TX",1051.0,1347.0,1116.0,3514.0,2166.0
"Slidell, LA",1051.0,1347.0,1116.0,3514.0,2166.0
"Mansfield, MA",1051.0,1347.0,1116.0,3514.0,2166.0
"Morris, IL",1051.0,1347.0,1116.0,3514.0,2166.0
"Voorhees, NJ",1051.0,1347.0,1116.0,3514.0,2166.0
"Worthington, MN",1347.0,1347.0,882.0,3576.0,2214.0
"Denison, IA",1347.0,1347.0,882.0,3576.0,2214.0
"Dickinson, ND",1347.0,1347.0,882.0,3576.0,2214.0
"San Bernadino, CA",1347.0,1347.0,882.0,3576.0,2214.0
"Richmond, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Senoia, GA",1347.0,1347.0,882.0,3576.0,2214.0
"Fairbanks, AK",1347.0,1347.0,882.0,3576.0,2214.0
"Lancaster, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Fairburn, GA",1347.0,1347.0,882.0,3576.0,2214.0
"Augsburg, Germany",1347.0,1347.0,882.0,3576.0,2214.0
"Talladega, AL",1347.0,1347.0,882.0,3576.0,2214.0
"Morristown, TN",1347.0,1347.0,882.0,3576.0,2214.0
"Foley, AL",1347.0,1347.0,882.0,3576.0,2214.0
"Folkston, GA",1347.0,1347.0,882.0,3576.0,2214.0
"Dyersburg, TN",1347.0,1347.0,882.0,3576.0,2214.0
"Mound Bayou, MS",1347.0,1347.0,882.0,3576.0,2214.0
"Durant, OK",1347.0,1347.0,882.0,3576.0,2214.0
"Riverdale, IL",1347.0,1347.0,882.0,3576.0,2214.0
"Lonoke, AR",1347.0,1347.0,882.0,3576.0,2214.0
"Olive Branch, MS",1347.0,1347.0,882.0,3576.0,2214.0
"Dublin, OH",1347.0,1347.0,882.0,3576.0,2214.0
"Haskell, OK",1347.0,1347.0,882.0,3576.0,2214.0
"Perry, OK",1347.0,1347.0,882.0,3576.0,2214.0
"Atmore, AL",1347.0,1347.0,882.0,3576.0,2214.0
"Havelock, NC",1347.0,1347.0,882.0,3576.0,2214.0
"Welch, WV",1347.0,1347.0,882.0,3576.0,2214.0
"Camp Lejeune, NC",1347.0,1347.0,882.0,3576.0,2214.0
"Jeannette, PA",1347.0,1347.0,882.0,3576.0,2214.0
"Center, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Franklin, TN",1347.0,1347.0,882.0,3576.0,2214.0
"Claremore, OK",1347.0,1347.0,882.0,3576.0,2214.0
"New Boston, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Clarksville, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Huntsville, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Pittsburg, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Wagoner, OK",1347.0,1347.0,882.0,3576.0,2214.0
"Niles, OH",1347.0,1347.0,882.0,3576.0,2214.0
"Menomonie, MI",1347.0,1347.0,882.0,3576.0,2214.0
"Chisholm, MN",1347.0,1347.0,882.0,3576.0,2214.0
"Red Bank, NJ",1347.0,1347.0,882.0,3576.0,2214.0
"Hot Springs Village, AR",1347.0,1347.0,882.0,3576.0,2214.0
"Plainview, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Madison, FL",1347.0,1347.0,882.0,3576.0,2214.0
"Madison, MS",1347.0,1347.0,882.0,3576.0,2214.0
"Sulphur, LA",1347.0,1347.0,882.0,3576.0,2214.0
"Abbeville, LA",1347.0,1347.0,882.0,3576.0,2214.0
"New Smyrna Beach, FL",1347.0,1347.0,882.0,3576.0,2214.0
"Sugar Land, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Vidalia, GA",1347.0,1347.0,882.0,3576.0,2214.0
"Immokalee, FL",1347.0,1347.0,882.0,3576.0,2214.0
"Yankton, SD",1347.0,1347.0,882.0,3576.0,2214.0
"Santa Clara County, CA",1347.0,1347.0,882.0,3576.0,2214.0
"Jasper, AL",1347.0,1347.0,882.0,3576.0,2214.0
"Oceanside, NY",1347.0,1347.0,882.0,3576.0,2214.0
"Muscle Shoals, AL",1347.0,1347.0,882.0,3576.0,2214.0
"Carthage, MO",1347.0,1347.0,882.0,3576.0,2214.0
"Laramie, WY",1347.0,1347.0,882.0,3576.0,2214.0
"Lewiston, ID",1347.0,1347.0,882.0,3576.0,2214.0
"Brooksville, FL",1347.0,1347.0,882.0,3576.0,2214.0
"Sweetwater, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Daphne, AL",1347.0,1347.0,882.0,3576.0,2214.0
"Danville, KY",1347.0,1347.0,882.0,3576.0,2214.0
"Mexia, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Amityville, NY",1347.0,1347.0,882.0,3576.0,2214.0
"American Fork, UT",1347.0,1347.0,882.0,3576.0,2214.0
"Warren, AR",1347.0,1347.0,882.0,3576.0,2214.0
"Van Wert, OH",1347.0,1347.0,882.0,3576.0,2214.0
"Alvin, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Cullman, AL",1347.0,1347.0,882.0,3576.0,2214.0
"Crystal Springs, MS",1347.0,1347.0,882.0,3576.0,2214.0
"Piscataway, NJ",1347.0,1347.0,882.0,3576.0,2214.0
"Grand Prairie, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Brookfield, WI",1347.0,1347.0,882.0,3576.0,2214.0
"Weston, WV",1347.0,1347.0,882.0,3576.0,2214.0
"Halifax, VA",1347.0,1347.0,882.0,3576.0,2214.0
"Fairland, OK",1347.0,1347.0,882.0,3576.0,2214.0
"Kaufman, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Bridgeton, NJ",1347.0,1347.0,882.0,3576.0,2214.0
"Monmouth, IL",1347.0,1347.0,882.0,3576.0,2214.0
"Monongahela, PA",1347.0,1347.0,882.0,3576.0,2214.0
"Littlefield, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Breckenridge, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Rock Springs, WY",1347.0,1347.0,882.0,3576.0,2214.0
"Breckenridge, MN",1347.0,1347.0,882.0,3576.0,2214.0
"Hanover, PA",1347.0,1347.0,882.0,3576.0,2214.0
"Bedford, OH",1347.0,1347.0,882.0,3576.0,2214.0
"Kennewick, WA",1347.0,1347.0,882.0,3576.0,2214.0
"Fayetteville, TN",1347.0,1347.0,882.0,3576.0,2214.0
"Kent, WA",1347.0,1347.0,882.0,3576.0,2214.0
"Marysville, CA",1347.0,1347.0,882.0,3576.0,2214.0
"Hamilton, Canada",1347.0,1347.0,882.0,3576.0,2214.0
"St. Thomas, Virgin Islands",1347.0,1347.0,882.0,3576.0,2214.0
"Farmington, MI",1347.0,1347.0,882.0,3576.0,2214.0
"Kingfisher, OK",1347.0,1347.0,882.0,3576.0,2214.0
"Kilgore, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Kingsville, TX",1347.0,1347.0,882.0,3576.0,2214.0
"Williamson, WV",1347.0,1347.0,882.0,3576.0,2214.0
"Boca Raton, FL",1347.0,1347.0,882.0,3576.0,2214.0
"Grinnell, IA",1347.0,1347.0,882.0,3576.0,2214.0
"Winona, MS",1347.0,1347.0,882.0,3576.0,2214.0
"Belle Vernon, PA",1347.0,1347.0,882.0,3576.0,2214.0
"WA, IN",1051.0,178.0,2438.0,3667.0,2315.0
"Russellville, KY",1051.0,178.0,2438.0,3667.0,2315.0
"Paris, KY",1051.0,253.0,2438.0,3742.0,2317.0
"Granite City, IL",1051.0,253.0,2438.0,3742.0,2317.0
"Marion, SC",1051.0,253.0,2438.0,3742.0,2317.0
"Manakin Sabot, VA",1051.0,1347.0,1347.0,3745.0,2320.0
"Shullsburg, WI",1051.0,1347.0,1347.0,3745.0,2320.0
"Kingston, Kingston",1051.0,1347.0,1347.0,3745.0,2320.0
"South Ozone Park, NY",1051.0,1347.0,1347.0,3745.0,2320.0
"Industry, TX",1051.0,1347.0,1347.0,3745.0,2320.0
"Livingston, MT",1051.0,1347.0,1347.0,3745.0,2320.0
"Hahira, GA",1051.0,1347.0,1347.0,3745.0,2320.0
"Marmarth, ND",1051.0,1347.0,1347.0,3745.0,2320.0
"Springfield, MN",1051.0,1347.0,1347.0,3745.0,2320.0
"Mayville, WI",1051.0,1347.0,1347.0,3745.0,2320.0
"Leesburg, VA",1051.0,1347.0,1347.0,3745.0,2320.0
"Magnolia, AL",1051.0,1347.0,1347.0,3745.0,2320.0
"Ludlow, MS",1051.0,1347.0,1347.0,3745.0,2320.0
"South Pittsburg, TN",1051.0,1347.0,1347.0,3745.0,2320.0
"South Scituate, RI",1051.0,1347.0,1347.0,3745.0,2320.0
"Lavinia, TN",1051.0,1347.0,1347.0,3745.0,2320.0
"Goshen, NY",1051.0,1347.0,1347.0,3745.0,2320.0
"McAlister, NM",1051.0,1347.0,1347.0,3745.0,2320.0
"Salem, IN",1051.0,1347.0,1347.0,3745.0,2320.0
"Martin, MI",1051.0,1347.0,1347.0,3745.0,2320.0
"South Williamstown, MA",1051.0,1347.0,1347.0,3745.0,2320.0
"Luther, OK",1051.0,1347.0,1347.0,3745.0,2320.0
"San Pedro de Macoris, San Pedro de Macoris",1051.0,1347.0,1347.0,3745.0,2320.0
"Stringtown, OK",1051.0,1347.0,1347.0,3745.0,2320.0
"Sellers, SC",1051.0,1347.0,1347.0,3745.0,2320.0
"Steens, MS",1051.0,1347.0,1347.0,3745.0,2320.0
"Greenwood, MO",1051.0,1347.0,1347.0,3745.0,2320.0
"Maysville, NC",1051.0,1347.0,1347.0,3745.0,2320.0
"Glen Campbell, PA",1051.0,1347.0,1347.0,3745.0,2320.0
"Satellite Beach, FL",1051.0,1347.0,1347.0,3745.0,2320.0
"La Veta, CO",1051.0,1347.0,1347.0,3745.0,2320.0
"Sigel, PA",1051.0,1347.0,1347.0,3745.0,2320.0
"Issaquah, WA",1051.0,1347.0,1347.0,3745.0,2320.0
"Manchester, OH",1051.0,1347.0,1347.0,3745.0,2320.0
"South Bridgton, ME",1051.0,1347.0,1347.0,3745.0,2320.0
"Springvale, ME",1051.0,1347.0,1347.0,3745.0,2320.0
"Springfield, OR",1051.0,1347.0,1347.0,3745.0,2320.0
"Grafton, OH",1051.0,1347.0,1347.0,3745.0,2320.0
"Strasburg, VA",1051.0,1347.0,1347.0,3745.0,2320.0
"Hermosillo, Sonora",1051.0,1347.0,1347.0,3745.0,2320.0
"Litchfield, IL",1051.0,1347.0,1347.0,3745.0,2320.0
"Sidney, NE",1051.0,1347.0,1347.0,3745.0,2320.0
"South Haven, MI",1051.0,1347.0,1347.0,3745.0,2320.0
"Latta, SC",1051.0,1347.0,1347.0,3745.0,2320.0
"Iola, KS",1051.0,1347.0,1347.0,3745.0,2320.0
"Graettinger, IA",1051.0,1347.0,1347.0,3745.0,2320.0
"Homer, MI",1051.0,1347.0,1347.0,3745.0,2320.0
"Stanley, NC",1051.0,1347.0,1347.0,3745.0,2320.0
"Selmer, TN",1051.0,1347.0,1347.0,3745.0,2320.0
"Madisonville, TN",1051.0,1347.0,1347.0,3745.0,2320.0
"Kingman, AZ",1051.0,1347.0,1347.0,3745.0,2320.0
"Sauk Rapids, MN",1051.0,1347.0,1347.0,3745.0,2320.0
"South Laguna, CA",1051.0,1347.0,1347.0,3745.0,2320.0
