BirthPlace,MLB,NBA,NFL,Total,Rank
"Vero Beach, FL",1347.0,458.0,383.0,2188.0,589.0
"Fort Valley, GA",1347.0,458.0,383.0,2188.0,589.0
"Greenwood, SC",603.0,1347.0,241.0,2191.0,592.0
"Baytown, TX",603.0,1347.0,241.0,2191.0,592.0
"New Castle, PA",603.0,1347.0,241.0,2191.0,592.0
"Melrose Park, IL",603.0,253.0,1347.0,2203.0,595.0
"Hillsboro, TX",1051.0,458.0,697.0,2206.0,596.0
"Beaufort, SC",1051.0,458.0,697.0,2206.0,596.0
"Key West, FL",1051.0,458.0,697.0,2206.0,596.0
"Manhattan, KS",1051.0,458.0,697.0,2206.0,596.0
"Newport, RI",1051.0,458.0,697.0,2206.0,596.0
"Woodbury, NJ",1051.0,458.0,697.0,2206.0,596.0
"La Jolla, CA",1051.0,458.0,697.0,2206.0,596.0
"Kosciusko, MS",1051.0,458.0,697.0,2206.0,596.0
"Harlingen, TX",1051.0,458.0,697.0,2206.0,596.0
"Arlington, VA",167.0,1347.0,697.0,2211.0,605.0
"Tarzana, CA",417.0,458.0,1347.0,2222.0,606.0
"San Luis Obispo, CA",1347.0,458.0,431.0,2236.0,607.0
"Stone Mountain, GA",1347.0,458.0,431.0,2236.0,607.0
"Moline, IL",1347.0,458.0,431.0,2236.0,607.0
"Jonesboro, LA",1347.0,458.0,431.0,2236.0,607.0
"Cairo, GA",309.0,1347.0,585.0,2241.0,611.0
"Glen Cove, NY",309.0,1347.0,585.0,2241.0,611.0
"Midland, MI",309.0,1347.0,585.0,2241.0,611.0
"Mount Clemens, MI",309.0,1347.0,585.0,2241.0,611.0
"Dearborn, MI",203.0,1347.0,697.0,2247.0,615.0
"Cleburne, TX",203.0,1347.0,697.0,2247.0,615.0
"Council Bluffs, IA",417.0,1347.0,486.0,2250.0,617.0
"Waltham, MA",417.0,1347.0,486.0,2250.0,617.0
"Ashland, KY",417.0,1347.0,486.0,2250.0,617.0
"Americus, GA",603.0,1347.0,303.0,2253.0,620.0
"Melbourne, Australia",1347.0,48.0,882.0,2277.0,621.0
"Midland, TX",603.0,1347.0,341.0,2291.0,622.0
"Superior, WI",1347.0,458.0,486.0,2291.0,622.0
"Lexington, NC",1347.0,458.0,486.0,2291.0,622.0
"Fort Ord, CA",1347.0,458.0,486.0,2291.0,622.0
"Greenville, TX",603.0,1347.0,341.0,2291.0,622.0
"Henderson, NC",1347.0,458.0,486.0,2291.0,622.0
"Thibodaux, LA",1347.0,458.0,486.0,2291.0,622.0
"Riverside, NJ",1347.0,458.0,486.0,2291.0,622.0
"Moultrie, GA",1347.0,458.0,486.0,2291.0,622.0
"Roseburg, OR",309.0,458.0,1526.0,2293.0,631.0
"San Gabriel, CA",309.0,458.0,1526.0,2293.0,631.0
"Jonesboro, AR",1347.0,253.0,697.0,2297.0,633.0
"Traverse City, MI",1347.0,253.0,697.0,2297.0,633.0
"Winnsboro, LA",1347.0,253.0,697.0,2297.0,633.0
"Glen Ridge, NJ",603.0,178.0,1526.0,2307.0,636.0
"Orange County, CA",603.0,1347.0,383.0,2333.0,637.0
"Lakewood, OH",417.0,1347.0,585.0,2349.0,638.0
"Garden Grove, CA",417.0,1347.0,585.0,2349.0,638.0
"St. Joseph, MO",417.0,1347.0,585.0,2349.0,638.0
"Alton, IL",417.0,1347.0,585.0,2349.0,638.0
"Fort Collins, CO",417.0,1347.0,585.0,2349.0,638.0
"Piqua, OH",417.0,1347.0,585.0,2349.0,638.0
"Brenham, TX",417.0,1347.0,585.0,2349.0,638.0
"Turlock, CA",309.0,1347.0,697.0,2353.0,645.0
"Beaver, PA",141.0,1347.0,882.0,2370.0,646.0
"Redlands, CA",141.0,1347.0,882.0,2370.0,646.0
"Nashua, NH",603.0,1347.0,431.0,2381.0,648.0
"Atlanta, TX",603.0,1347.0,431.0,2381.0,648.0
"Plano, TX",603.0,1347.0,431.0,2381.0,648.0
"Alexander City, AL",603.0,1347.0,431.0,2381.0,648.0
"Anderson, IN",603.0,253.0,1526.0,2382.0,652.0
"New Albany, MS",603.0,253.0,1526.0,2382.0,652.0
"Cartersville, GA",1347.0,458.0,585.0,2390.0,654.0
"Town Creek, AL",1347.0,458.0,585.0,2390.0,654.0
"Rayville, LA",1347.0,458.0,585.0,2390.0,654.0
"Sioux Falls, SD",1347.0,458.0,585.0,2390.0,654.0
"MO City, TX",1347.0,458.0,585.0,2390.0,654.0
"Waxahachie, TX",1347.0,458.0,585.0,2390.0,654.0
"Palmdale, CA",1347.0,458.0,585.0,2390.0,654.0
"Wausau, WI",1347.0,458.0,585.0,2390.0,654.0
"Suffolk, VA",1347.0,458.0,585.0,2390.0,654.0
"West Monroe, LA",1347.0,458.0,585.0,2390.0,654.0
"Union, SC",1347.0,458.0,585.0,2390.0,654.0
"Crossett, AR",1051.0,458.0,882.0,2391.0,665.0
"Elberton, GA",1051.0,458.0,882.0,2391.0,665.0
"Richland, WA",1051.0,458.0,882.0,2391.0,665.0
"Ithaca, NY",1051.0,458.0,882.0,2391.0,665.0
"Newark, DE",1051.0,458.0,882.0,2391.0,665.0
"Westerville, OH",1051.0,458.0,882.0,2391.0,665.0
"New Bedford, MA",1051.0,458.0,882.0,2391.0,665.0
"Cape Coral, FL",1051.0,458.0,882.0,2391.0,665.0
"Toms River, NJ",1051.0,458.0,882.0,2391.0,665.0
"Prescott, AR",417.0,458.0,1526.0,2401.0,674.0
"Livermore, CA",417.0,458.0,1526.0,2401.0,674.0
"La Porte, IN",417.0,458.0,1526.0,2401.0,674.0
"Zanesville, OH",417.0,458.0,1526.0,2401.0,674.0
"Adelaide, Australia",603.0,458.0,1347.0,2408.0,678.0
"Carolina, PR",603.0,458.0,1347.0,2408.0,678.0
"Caguas, PR",603.0,458.0,1347.0,2408.0,678.0
"Mayaguez, PR",603.0,458.0,1347.0,2408.0,678.0
"Dobbs Ferry, NY",603.0,458.0,1347.0,2408.0,678.0
"Devils Lake, ND",603.0,458.0,1347.0,2408.0,678.0
"Bayside, NY",603.0,458.0,1347.0,2408.0,678.0
"Costa Mesa, CA",603.0,458.0,1347.0,2408.0,678.0
"Miles City, MT",603.0,458.0,1347.0,2408.0,678.0
"Rice Lake, WI",603.0,458.0,1347.0,2408.0,678.0
"Pullman, WA",603.0,458.0,1347.0,2408.0,678.0
"San Marcos, TX",1051.0,253.0,1116.0,2420.0,689.0
"Medford, OR",1051.0,253.0,1116.0,2420.0,689.0
"Freehold, NJ",1051.0,253.0,1116.0,2420.0,689.0
"Frederick, MD",1051.0,253.0,1116.0,2420.0,689.0
"Kokomo, IN",1051.0,253.0,1116.0,2420.0,689.0
"Pittston, PA",203.0,1347.0,882.0,2432.0,694.0
"Hammond, LA",603.0,1347.0,486.0,2436.0,695.0
"Terrell, TX",603.0,1347.0,486.0,2436.0,695.0
"Faribault, MN",603.0,1347.0,486.0,2436.0,695.0
"Ashtabula, OH",603.0,1347.0,486.0,2436.0,695.0
"Corona, CA",603.0,1347.0,486.0,2436.0,695.0
"State College, PA",603.0,1347.0,486.0,2436.0,695.0
"Paris, TX",603.0,1347.0,486.0,2436.0,695.0
"Batesville, MS",603.0,1347.0,486.0,2436.0,695.0
"Berwyn, IL",603.0,1347.0,486.0,2436.0,695.0
"Natick, MA",603.0,1347.0,486.0,2436.0,695.0
"Montclair, NJ",603.0,1347.0,486.0,2436.0,695.0
"Orange, TX",603.0,1347.0,486.0,2436.0,695.0
"Mason City, IA",417.0,1347.0,697.0,2461.0,707.0
"Conroe, TX",417.0,1347.0,697.0,2461.0,707.0
"Columbia, TN",417.0,1347.0,697.0,2461.0,707.0
"Clovis, CA",417.0,1347.0,697.0,2461.0,707.0
"Chickasha, OK",417.0,1347.0,697.0,2461.0,707.0
"Laurinburg, NC",417.0,1347.0,697.0,2461.0,707.0
"Rochester, MI",417.0,1347.0,697.0,2461.0,707.0
"Utica, NY",417.0,1347.0,697.0,2461.0,707.0
"Monroe, NC",246.0,1347.0,882.0,2475.0,715.0
"Hibbing, MN",1347.0,253.0,882.0,2482.0,716.0
"Corbin, KY",1347.0,253.0,882.0,2482.0,716.0
"Canton, GA",1347.0,253.0,882.0,2482.0,716.0
"Salem, MA",1347.0,253.0,882.0,2482.0,716.0
"Sydney, Australia",1347.0,253.0,882.0,2482.0,716.0
"Macon, MS",1347.0,253.0,882.0,2482.0,716.0
"Wurzburg, Germany",1347.0,253.0,882.0,2482.0,716.0
"Carbondale, IL",1347.0,253.0,882.0,2482.0,716.0
"Thomaston, GA",1347.0,253.0,882.0,2482.0,716.0
"Oskaloosa, IA",1347.0,458.0,697.0,2502.0,725.0
"Carrollton, GA",1347.0,458.0,697.0,2502.0,725.0
"Indianola, MS",1347.0,458.0,697.0,2502.0,725.0
"Janesville, WI",1347.0,458.0,697.0,2502.0,725.0
"Berlin, Germany",1347.0,458.0,697.0,2502.0,725.0
"Torrington, CT",1347.0,458.0,697.0,2502.0,725.0
"Sheboygan, WI",1347.0,458.0,697.0,2502.0,725.0
"Heidelberg, Germany",1347.0,458.0,697.0,2502.0,725.0
"Okolona, MS",1347.0,458.0,697.0,2502.0,725.0
"Gaithersburg, MD",1347.0,458.0,697.0,2502.0,725.0
"Sterling Heights, MI",1347.0,458.0,697.0,2502.0,725.0
"Wiesbaden, Germany",1347.0,458.0,697.0,2502.0,725.0
"Blytheville, AR",1347.0,458.0,697.0,2502.0,725.0
"Elizabeth City, NC",1347.0,458.0,697.0,2502.0,725.0
"Auburn, WA",1347.0,458.0,697.0,2502.0,725.0
"McKees Rocks, PA",1347.0,458.0,697.0,2502.0,725.0
"Emporia, VA",1347.0,458.0,697.0,2502.0,725.0
"Irving, TX",603.0,1347.0,585.0,2535.0,742.0
"Parkersburg, WV",603.0,1347.0,585.0,2535.0,742.0
"Ponca City, OK",603.0,1347.0,585.0,2535.0,742.0
"Jefferson City, MO",603.0,1347.0,585.0,2535.0,742.0
"Annapolis, MD",603.0,1347.0,585.0,2535.0,742.0
"Reidsville, NC",603.0,1347.0,585.0,2535.0,742.0
"Bethesda, MD",603.0,1347.0,585.0,2535.0,742.0
"Quincy, MA",309.0,1347.0,882.0,2538.0,749.0
"Granada Hills, CA",309.0,1347.0,882.0,2538.0,749.0
"Pasadena, TX",309.0,1347.0,882.0,2538.0,749.0
"Newton, MA",309.0,1347.0,882.0,2538.0,749.0
"Lufkin, TX",1051.0,1347.0,147.0,2545.0,753.0
"Poplar Bluff, MO",1051.0,178.0,1347.0,2576.0,754.0
"Havre, MT",603.0,458.0,1526.0,2587.0,755.0
"Junction City, KS",603.0,458.0,1526.0,2587.0,755.0
"Lompoc, CA",603.0,458.0,1526.0,2587.0,755.0
"Greeley, CO",603.0,458.0,1526.0,2587.0,755.0
"Glendora, CA",603.0,458.0,1526.0,2587.0,755.0
"Lewisburg, TN",603.0,458.0,1526.0,2587.0,755.0
"Richmond, KY",603.0,458.0,1526.0,2587.0,755.0
"Sewickley, PA",603.0,458.0,1526.0,2587.0,755.0
"Union City, NJ",1347.0,139.0,1116.0,2602.0,763.0
"Benton Harbor, MI",1347.0,139.0,1116.0,2602.0,763.0
"Buenos Aires, Argentina",1347.0,139.0,1116.0,2602.0,763.0
