,College,MLB,NBA,NFL,Total,Rank,conference_College
1184,Houston Baptist University,732.0,313.0,369.0,1414.0,1181.0,Southland
1185,University of Montevallo,732.0,313.0,369.0,1414.0,1181.0,
1186,East Central University,732.0,313.0,369.0,1414.0,1181.0,
1187,Millersville University of Pennsylvania,732.0,313.0,369.0,1414.0,1181.0,
1188,Gannon University,732.0,313.0,369.0,1414.0,1181.0,
1189,Culver-Stockton College,732.0,313.0,369.0,1414.0,1181.0,
1190,United States Military Academy,732.0,313.0,369.0,1414.0,1181.0,
1191,Belmont Abbey College,732.0,313.0,369.0,1414.0,1181.0,
1192,Rockhurst University,732.0,313.0,369.0,1414.0,1181.0,
1193,Longwood University,732.0,313.0,369.0,1414.0,1181.0,
1194,Franklin College,732.0,313.0,369.0,1414.0,1181.0,
1195,American International University,732.0,313.0,371.0,1416.0,1196.0,
1196,Mount Union College,732.0,313.0,371.0,1416.0,1196.0,
1197,Southern Utah University,732.0,369.0,322.0,1423.0,1198.0,Big Sky
1198,Wittenberg University,732.0,369.0,322.0,1423.0,1198.0,
1199,Franklin & Marshall College,732.0,369.0,322.0,1423.0,1198.0,
1200,Missouri Southern State University,732.0,369.0,346.0,1447.0,1201.0,
1201,College of Wooster,732.0,313.0,402.0,1447.0,1202.0,
1202,Hillsdale College,732.0,313.0,402.0,1447.0,1202.0,
1203,University of Nebraska at Kearney,732.0,313.0,402.0,1447.0,1202.0,
1204,Ithaca College,456.0,369.0,630.0,1455.0,1205.0,
1205,Mercyhurst College,456.0,369.0,630.0,1455.0,1205.0,
1206,University of Indianapolis,456.0,369.0,630.0,1455.0,1205.0,
1207,Taft College,456.0,369.0,630.0,1455.0,1205.0,
1208,Middlebury College,555.0,369.0,534.0,1458.0,1209.0,
1209,Sul Ross State University,555.0,369.0,534.0,1458.0,1209.0,
1210,Upper Iowa University,555.0,369.0,534.0,1458.0,1209.0,
1211,Western Connecticut State University,732.0,369.0,369.0,1470.0,1212.0,
1212,University of Southern Maine,732.0,369.0,369.0,1470.0,1212.0,
1213,Albertson College,732.0,369.0,369.0,1470.0,1212.0,
1214,Wesleyan University,732.0,369.0,369.0,1470.0,1212.0,
1215,Westbrook College,732.0,369.0,369.0,1470.0,1212.0,
1216,Baker University,732.0,369.0,369.0,1470.0,1212.0,
1217,Anne Arundel Community College,732.0,369.0,369.0,1470.0,1212.0,
1218,Warner Pacific College,732.0,369.0,369.0,1470.0,1212.0,
1219,Baltimore City Community College,732.0,369.0,369.0,1470.0,1212.0,
1220,Volant College,732.0,369.0,369.0,1470.0,1212.0,
1221,Vincennes University,732.0,369.0,369.0,1470.0,1212.0,
1222,Athens State University,732.0,369.0,369.0,1470.0,1212.0,
1223,Viterbo University,732.0,369.0,369.0,1470.0,1212.0,
1224,University of the Ozarks,732.0,369.0,369.0,1470.0,1212.0,
1225,Utah Valley State University,732.0,369.0,369.0,1470.0,1212.0,
1226,Allegheny College,732.0,369.0,369.0,1470.0,1212.0,
1227,Weaver College,732.0,369.0,369.0,1470.0,1212.0,
1228,Whitman College,732.0,369.0,369.0,1470.0,1212.0,
1229,William Rainey Harper College,732.0,369.0,369.0,1470.0,1212.0,
1230,Weatherford College,732.0,369.0,369.0,1470.0,1212.0,
1231,Auburn University at Montgomery,732.0,369.0,369.0,1470.0,1212.0,
1232,Wilkes University,732.0,369.0,369.0,1470.0,1212.0,
1233,University of Massachusetts Dartmouth,732.0,369.0,369.0,1470.0,1212.0,
1234,Concordia Seminary-St. Louis,732.0,369.0,369.0,1470.0,1212.0,
1235,Barton College,732.0,369.0,369.0,1470.0,1212.0,
1236,Barstow Community College,732.0,369.0,369.0,1470.0,1212.0,
1237,Centralia College,732.0,369.0,369.0,1470.0,1212.0,
1238,Maritime College,732.0,369.0,369.0,1470.0,1212.0,
1239,East Los Angeles College,732.0,369.0,369.0,1470.0,1212.0,
1240,Macomb Community College,732.0,369.0,369.0,1470.0,1212.0,
1241,East Oklahoma State College,732.0,369.0,369.0,1470.0,1212.0,
1242,Lowell Technological Institute,732.0,369.0,369.0,1470.0,1212.0,
1243,Longview Community College,732.0,369.0,369.0,1470.0,1212.0,
1244,Linn-Benton Community College,732.0,369.0,369.0,1470.0,1212.0,
1245,Lincoln Trail College,732.0,369.0,369.0,1470.0,1212.0,
1246,Eastern Mennonite University,732.0,369.0,369.0,1470.0,1212.0,
1247,Limestone College,732.0,369.0,369.0,1470.0,1212.0,
1248,Edinboro University of Pennsylvania,732.0,369.0,369.0,1470.0,1212.0,
1249,Lambuth University,732.0,369.0,369.0,1470.0,1212.0,
1250,Edmonds Community College,732.0,369.0,369.0,1470.0,1212.0,
1251,Elizabethtown College,732.0,369.0,369.0,1470.0,1212.0,
1252,Labette Community College,732.0,369.0,369.0,1470.0,1212.0,
1253,Massachusetts College of Liberal Arts,732.0,369.0,369.0,1470.0,1212.0,
1254,Massachusetts Institute of Technology,732.0,369.0,369.0,1470.0,1212.0,
1255,East Central Community College,732.0,369.0,369.0,1470.0,1212.0,
1256,Massasoit Community College,732.0,369.0,369.0,1470.0,1212.0,
1257,New Mexico Military Institute,732.0,369.0,369.0,1470.0,1212.0,
1258,Nassau Community College,732.0,369.0,369.0,1470.0,1212.0,
1259,Florida Institute of Technology,732.0,369.0,369.0,1470.0,1212.0,
1260,Mount Morris College,732.0,369.0,369.0,1470.0,1212.0,
1261,Motlow State Community College,732.0,369.0,369.0,1470.0,1212.0,
1262,Moraine Valley Community College,732.0,369.0,369.0,1470.0,1212.0,
1263,Montgomery College-Rockville Campus,732.0,369.0,369.0,1470.0,1212.0,
1264,Mohawk Valley Community College,732.0,369.0,369.0,1470.0,1212.0,
1265,Kilgore College,732.0,369.0,369.0,1470.0,1212.0,
1266,Mitchell College,732.0,369.0,369.0,1470.0,1212.0,
1267,Mission College,732.0,369.0,369.0,1470.0,1212.0,
1268,Middlesex County Community College,732.0,369.0,369.0,1470.0,1212.0,
1269,Middlesex Community College,732.0,369.0,369.0,1470.0,1212.0,
1270,Cecil Community College,732.0,369.0,369.0,1470.0,1212.0,
1271,Messiah College,732.0,369.0,369.0,1470.0,1212.0,
1272,Meridian Junior College,732.0,369.0,369.0,1470.0,1212.0,
1273,Mendocino College,732.0,369.0,369.0,1470.0,1212.0,
1274,Medical College of Virginia,732.0,369.0,369.0,1470.0,1212.0,
1275,Case Institute of Applied Sciences,732.0,369.0,369.0,1470.0,1212.0,
1276,Ellsworth College,732.0,369.0,369.0,1470.0,1212.0,
1277,Kennedy-King College,732.0,369.0,369.0,1470.0,1212.0,
1278,Collin College,732.0,369.0,369.0,1470.0,1212.0,
1279,Hahnemann University,732.0,369.0,369.0,1470.0,1212.0,
1280,Gulf Coast Military Academy,732.0,369.0,369.0,1470.0,1212.0,
1281,Grand Rapids Community College,732.0,369.0,369.0,1470.0,1212.0,
1282,College of DuPage,732.0,369.0,369.0,1470.0,1212.0,
1283,Glenville State College,732.0,369.0,369.0,1470.0,1212.0,
1284,Glen Oaks Community College,732.0,369.0,369.0,1470.0,1212.0,
1285,Georgia College and State University,732.0,369.0,369.0,1470.0,1212.0,
1286,Gavilan College,732.0,369.0,369.0,1470.0,1212.0,
1287,Feather River College,732.0,369.0,369.0,1470.0,1212.0,
1288,Garrett Community College,732.0,369.0,369.0,1470.0,1212.0,
1289,Gadsden State Community College,732.0,369.0,369.0,1470.0,1212.0,
1290,College of Southern Maryland,732.0,369.0,369.0,1470.0,1212.0,
1291,College of the Southwest,732.0,369.0,369.0,1470.0,1212.0,
1292,Friends University,732.0,369.0,369.0,1470.0,1212.0,
1293,College of St. Rose,732.0,369.0,369.0,1470.0,1212.0,
1294,Freed-Hardeman University,732.0,369.0,369.0,1470.0,1212.0,
1295,Frank Phillips College,732.0,369.0,369.0,1470.0,1212.0,
1296,Francis Marion University,732.0,369.0,369.0,1470.0,1212.0,
1297,Garden City Community College,732.0,369.0,369.0,1470.0,1212.0,
1298,Carnegie Mellon University,732.0,369.0,369.0,1470.0,1212.0,
1299,Hartnell College,732.0,369.0,369.0,1470.0,1212.0,
1300,Hawaii Pacific University,732.0,369.0,369.0,1470.0,1212.0,
1301,Kaskaskia College,732.0,369.0,369.0,1470.0,1212.0,
1302,Kankakee Community College,732.0,369.0,369.0,1470.0,1212.0,
1303,Johnson County Community College,732.0,369.0,369.0,1470.0,1212.0,
1304,John J Pershing College,732.0,369.0,369.0,1470.0,1212.0,
1305,John Brown University,732.0,369.0,369.0,1470.0,1212.0,
1306,Erie Community College,732.0,369.0,369.0,1470.0,1212.0,
1307,Clark College,732.0,369.0,369.0,1470.0,1212.0,
1308,Jackson State Community College,732.0,369.0,369.0,1470.0,1212.0,
1309,Hartwick College,732.0,369.0,369.0,1470.0,1212.0,
1310,Everett Community College,732.0,369.0,369.0,1470.0,1212.0,
1311,Illinois Central College,732.0,369.0,369.0,1470.0,1212.0,
1312,Coastal Georgia Community College,732.0,369.0,369.0,1470.0,1212.0,
1313,Hunter College,732.0,369.0,369.0,1470.0,1212.0,
1314,Holmes Community College,732.0,369.0,369.0,1470.0,1212.0,
1315,Hiwassee College,732.0,369.0,369.0,1470.0,1212.0,
1316,Highland Park College,732.0,369.0,369.0,1470.0,1212.0,
1317,Henry Ford Community College,732.0,369.0,369.0,1470.0,1212.0,
1318,Hendrix College,732.0,369.0,369.0,1470.0,1212.0,
1319,Fairleigh Dickinson University-Metropolitan Campus,732.0,369.0,369.0,1470.0,1212.0,
1320,Newport News Apprentice School,732.0,369.0,369.0,1470.0,1212.0,
1321,Mount San Jacinto College,732.0,369.0,369.0,1470.0,1212.0,
1322,North Arkansas College,732.0,369.0,369.0,1470.0,1212.0,
1323,Bridgewater College,732.0,369.0,369.0,1470.0,1212.0,
1324,Bridgewater State College,732.0,369.0,369.0,1470.0,1212.0,
1325,St. Michael's College,732.0,369.0,369.0,1470.0,1212.0,
1326,Daytona Beach Community College,732.0,369.0,369.0,1470.0,1212.0,
1327,St. Mary's University of Minnesota,732.0,369.0,369.0,1470.0,1212.0,
1328,St. Martin's College,732.0,369.0,369.0,1470.0,1212.0,
1329,Delaware County Community College,732.0,369.0,369.0,1470.0,1212.0,
1330,St. Andrews Presbyterian College,732.0,369.0,369.0,1470.0,1212.0,
1331,State University of New York at Fredonia,732.0,369.0,369.0,1470.0,1212.0,
1332,Delaware Technical and Community College,732.0,369.0,369.0,1470.0,1212.0,
1333,Southwest Texas Junior College,732.0,369.0,369.0,1470.0,1212.0,
1334,Bryant College,732.0,369.0,369.0,1470.0,1212.0,
1335,Southeastern Iowa Community College,732.0,369.0,369.0,1470.0,1212.0,
1336,Bucks County Community College,732.0,369.0,369.0,1470.0,1212.0,
1337,Delgado Community College,732.0,369.0,369.0,1470.0,1212.0,
1338,Sinclair Community College,732.0,369.0,369.0,1470.0,1212.0,
1339,Community College of Philadelphia,732.0,369.0,369.0,1470.0,1212.0,
1340,Normandale Community College,732.0,369.0,369.0,1470.0,1212.0,
1341,Southwestern Oklahoma State University,732.0,369.0,369.0,1470.0,1212.0,
1342,Shenandoah University,732.0,369.0,369.0,1470.0,1212.0,
1343,State University of New York at Oneonta,732.0,369.0,369.0,1470.0,1212.0,
1344,Tacoma Community College,732.0,369.0,369.0,1470.0,1212.0,
1345,Bellarmine College,732.0,369.0,369.0,1470.0,1212.0,
1346,University of Hawaii at Hilo,732.0,369.0,369.0,1470.0,1212.0,
1347,Benedictine College,732.0,369.0,369.0,1470.0,1212.0,
1348,Bernard M Baruch College,732.0,369.0,369.0,1470.0,1212.0,
1349,Bevill State Community College,732.0,369.0,369.0,1470.0,1212.0,
1350,University of Arkansas at Monticello,732.0,369.0,369.0,1470.0,1212.0,
1351,Blackburn College,732.0,369.0,369.0,1470.0,1212.0,
1352,Tusculum College,732.0,369.0,369.0,1470.0,1212.0,
1353,Cumberland University,732.0,369.0,369.0,1470.0,1212.0,
1354,Tupelo Military Institute,732.0,369.0,369.0,1470.0,1212.0,
1355,Bordentown Military Institute,732.0,369.0,369.0,1470.0,1212.0,
1356,Concordia University at Austin,732.0,369.0,369.0,1470.0,1212.0,
1357,Bossier Parish Community College,732.0,369.0,369.0,1470.0,1212.0,
1358,Brandeis University,732.0,369.0,369.0,1470.0,1212.0,
1359,Brandywine Junior College,732.0,369.0,369.0,1470.0,1212.0,
1360,Brevard College,732.0,369.0,369.0,1470.0,1212.0,
1361,Temple College,732.0,369.0,369.0,1470.0,1212.0,
1362,Copiah-Lincoln Community College,732.0,369.0,369.0,1470.0,1212.0,
1363,Blue Mountain Community College,732.0,369.0,369.0,1470.0,1212.0,
1364,Des Moines University,732.0,369.0,369.0,1470.0,1212.0,
1365,Shurtleff College,732.0,369.0,369.0,1470.0,1212.0,
1366,Buffalo State College,732.0,369.0,369.0,1470.0,1212.0,
1367,Shasta College,732.0,369.0,369.0,1470.0,1212.0,
1368,Palm Beach Atlantic University,732.0,369.0,369.0,1470.0,1212.0,
1369,Olney Central College,732.0,369.0,369.0,1470.0,1212.0,
1370,Community College of Allegheny County-South Campus,732.0,369.0,369.0,1470.0,1212.0,
1371,Camden County College,732.0,369.0,369.0,1470.0,1212.0,
1372,Oklahoma Wesleyan University,732.0,369.0,369.0,1470.0,1212.0,
1373,Ohio Valley College,732.0,369.0,369.0,1470.0,1212.0,
1374,Community College of Allegheny County-Boyce Campus,732.0,369.0,369.0,1470.0,1212.0,
1375,Parker College,732.0,369.0,369.0,1470.0,1212.0,
1376,Oakland Community College,732.0,369.0,369.0,1470.0,1212.0,
1377,Northwood University,732.0,369.0,369.0,1470.0,1212.0,
1378,Northwest-Shoals Community College,732.0,369.0,369.0,1470.0,1212.0,
1379,Canterbury College,732.0,369.0,369.0,1470.0,1212.0,
1380,Northeastern Illinois University,732.0,369.0,369.0,1470.0,1212.0,
1381,Northeast Texas Community College,732.0,369.0,369.0,1470.0,1212.0,
1382,North Shore Community College,732.0,369.0,369.0,1470.0,1212.0,
1383,North Idaho College,732.0,369.0,369.0,1470.0,1212.0,
1384,Cardinal Stritch University,732.0,369.0,369.0,1470.0,1212.0,
1385,Norwalk Community College,732.0,369.0,369.0,1470.0,1212.0,
1386,Pasco-Hernando Community College,732.0,369.0,369.0,1470.0,1212.0,
1387,Palmer College,732.0,369.0,369.0,1470.0,1212.0,
1388,Plymouth State College,732.0,369.0,369.0,1470.0,1212.0,
1389,Dixon College,732.0,369.0,369.0,1470.0,1212.0,
1390,Schreiner University,732.0,369.0,369.0,1470.0,1212.0,
1391,Burnetta College,732.0,369.0,369.0,1470.0,1212.0,
1392,Drury University,732.0,369.0,369.0,1470.0,1212.0,
1393,Rockland Community College,732.0,369.0,369.0,1470.0,1212.0,
1394,Pitt Community College,732.0,369.0,369.0,1470.0,1212.0,
1395,Rock Hill College,732.0,369.0,369.0,1470.0,1212.0,
1396,Ricker College,732.0,369.0,369.0,1470.0,1212.0,
1397,College of the Redwoods,732.0,369.0,369.0,1470.0,1212.0,
1398,Rhode Island College,732.0,369.0,369.0,1470.0,1212.0,
1399,Potomac State College,732.0,369.0,369.0,1470.0,1212.0,
1400,Pratt Community College,732.0,369.0,369.0,1470.0,1212.0,
1401,Community College of Beaver County,732.0,369.0,369.0,1470.0,1212.0,
1402,Quinnipiac College,732.0,369.0,369.0,1470.0,1212.0,
1403,Ferris State University,732.0,369.0,371.0,1472.0,1404.0,
1404,Southern Arkansas University,732.0,369.0,371.0,1472.0,1404.0,
1405,University of Wisconsin at Whitewater,732.0,369.0,371.0,1472.0,1404.0,
1406,Otterbein College,732.0,313.0,449.0,1494.0,1407.0,
1407,Stony Brook University,555.0,313.0,630.0,1498.0,1408.0,CAA
1408,Western Washington University,732.0,369.0,402.0,1503.0,1409.0,
1409,Wiley College,732.0,369.0,402.0,1503.0,1409.0,
1410,Widener University,732.0,369.0,402.0,1503.0,1409.0,
1411,Shippensburg University of Pennsylvania,732.0,369.0,402.0,1503.0,1409.0,
1412,Carthage College,732.0,369.0,402.0,1503.0,1409.0,
1413,Wheaton College,732.0,313.0,476.0,1521.0,1414.0,
1414,Fayetteville State University,732.0,313.0,476.0,1521.0,1414.0,
1415,Shepherd College,732.0,369.0,449.0,1550.0,1416.0,
1416,Lombard College,732.0,369.0,449.0,1550.0,1416.0,
1417,Palomar College,555.0,369.0,630.0,1554.0,1418.0,
1418,Shaw University,555.0,369.0,630.0,1554.0,1418.0,
1419,Rowan University,555.0,369.0,630.0,1554.0,1418.0,
1420,Grinnell College,555.0,369.0,630.0,1554.0,1418.0,
1421,Clarkson University,555.0,369.0,630.0,1554.0,1418.0,
1422,Iowa Wesleyan College,555.0,369.0,630.0,1554.0,1418.0,
1423,Walla Walla Community College,555.0,369.0,630.0,1554.0,1418.0,
1424,Wagner College,555.0,369.0,630.0,1554.0,1418.0,Northeast
1425,Western Oregon University,732.0,369.0,476.0,1577.0,1426.0,
1426,Thiel College,732.0,369.0,476.0,1577.0,1426.0,
1427,William Jewell College,732.0,369.0,476.0,1577.0,1426.0,
1428,Willamette University,732.0,369.0,476.0,1577.0,1426.0,
1429,Loras College,732.0,369.0,476.0,1577.0,1426.0,
1430,Lane College,732.0,369.0,476.0,1577.0,1426.0,
1431,Mars Hill College,732.0,369.0,476.0,1577.0,1426.0,
1432,Frostburg State University,732.0,369.0,476.0,1577.0,1426.0,
1433,Clarion University of Pennsylvania,732.0,369.0,476.0,1577.0,1426.0,
1434,Wesley College,732.0,369.0,476.0,1577.0,1426.0,
1435,Lake Forest College,732.0,369.0,476.0,1577.0,1426.0,
1436,Kenyon College,732.0,313.0,534.0,1579.0,1437.0,
1437,Upsala College,732.0,313.0,534.0,1579.0,1437.0,
1438,William Paterson University,732.0,249.0,630.0,1611.0,1439.0,
1439,Schuylkill College,732.0,369.0,534.0,1635.0,1440.0,
1440,St. Augustine's College,732.0,369.0,534.0,1635.0,1440.0,
1441,Randolph-Macon College,732.0,369.0,534.0,1635.0,1440.0,
1442,Olivet College,732.0,369.0,534.0,1635.0,1440.0,
1443,Harding University,732.0,369.0,534.0,1635.0,1440.0,
1444,Fort Hays State University,732.0,369.0,534.0,1635.0,1440.0,
1445,Tarkio College,732.0,369.0,534.0,1635.0,1440.0,
1446,Whitworth College,732.0,369.0,534.0,1635.0,1440.0,
1447,Simpson College,732.0,369.0,534.0,1635.0,1440.0,
1448,St. Ambrose University,732.0,369.0,630.0,1731.0,1449.0,
1449,Augustana College,732.0,369.0,630.0,1731.0,1449.0,
1450,Sterling University,732.0,369.0,630.0,1731.0,1449.0,
1451,Lakeland Community College,732.0,369.0,630.0,1731.0,1449.0,
1452,George Fox University,732.0,369.0,630.0,1731.0,1449.0,
1453,Flagler College,732.0,369.0,630.0,1731.0,1449.0,
1454,Ohio Dominican University,732.0,369.0,630.0,1731.0,1449.0,
1455,Marion Military Institute,732.0,369.0,630.0,1731.0,1449.0,
1456,Lincoln College,732.0,369.0,630.0,1731.0,1449.0,
1457,Lewis & Clark Community College,732.0,369.0,630.0,1731.0,1449.0,
1458,Snow College (UT),732.0,369.0,630.0,1731.0,1449.0,
1459,MacMurray College,732.0,369.0,630.0,1731.0,1449.0,
