College,BirthPlace,MLB_score,NBA_score,NFL_score,Total,Rank
University of North Carolina at Chapel Hill,"Detroit, MI",186.0,42.0,208.0,76.0,84.0
University of Southern California,"Cincinnati, OH",37.0,231.0,138.5,76.0,84.0
University of California-Los Angeles,"San Diego, CA",73.5,192.5,177.0,76.0,84.0
University of Tennessee,"Los Angeles, CA",203.0,171.5,100.0,77.0,87.0
University of Michigan,"Miami, FL",158.5,229.0,37.0,78.0,88.0
University of Southern California,"San Francisco, CA",86.5,214.5,153.0,78.0,88.0
Louisiana State University,"Cleveland, OH",189.5,183.0,118.0,78.0,88.0
University of Notre Dame,"Pittsburgh, PA",202.0,186.5,58.5,79.0,91.0
University of California-Berkeley,"Los Angeles, CA",119.5,186.5,181.0,79.0,91.0
University of Texas,"New York, NY",11.0,214.5,181.0,79.0,91.0
Florida State University,"Houston, TX",101.5,205.0,165.0,79.0,91.0
Michigan State University,"Chicago, IL",234.5,81.5,138.5,80.0,95.0
University of Southern California,"Pittsburgh, PA",152.0,229.0,71.0,80.0,95.0
University of Southern California,"San Diego, CA",26.5,242.5,145.0,82.0,97.0
University of Notre Dame,"New Orleans, LA",234.5,142.0,47.0,82.0,97.0
Michigan State University,"Los Angeles, CA",233.0,113.5,141.5,82.0,97.0
University of Texas,"Dallas, TX",49.0,229.0,160.5,83.0,100.0
University of Texas,"Philadelphia, PA",101.5,207.5,173.0,83.0,100.0
Stanford University,"Houston, TX",26.5,214.5,187.5,83.0,100.0
University of California-Los Angeles,"Memphis, TN",215.0,97.5,181.0,83.0,100.0
University of Arizona,"Houston, TX",61.5,136.5,239.0,83.0,100.0
University of Southern California,"New Orleans, LA",210.0,186.5,58.5,83.0,100.0
University of Alabama,"Houston, TX",119.5,239.0,100.0,83.0,100.0
Ohio State University,"St. Louis, MO",212.0,174.0,118.0,84.0,107.0
University of Texas,"Detroit, MI",134.0,220.0,156.5,84.0,107.0
Florida State University,"New York, NY",119.5,192.5,192.0,84.0,107.0
Louisiana State University,"Cincinnati, OH",119.5,223.5,153.0,84.0,107.0
Ohio State University,"Atlanta, GA",224.5,149.5,131.5,85.0,111.0
Arizona State University,"Chicago, IL",11.0,233.0,173.0,85.0,111.0
University of Notre Dame,"Miami, FL",196.0,223.5,14.0,85.0,111.0
University of Southern California,"Miami, FL",142.0,250.0,21.5,86.0,114.0
University of Tennessee,"Houston, TX",207.5,186.5,118.0,86.0,114.0
Arizona State University,"Los Angeles, CA",6.5,236.0,177.0,87.0,116.0
University of Arizona,"New York, NY",73.5,113.5,255.5,88.0,117.0
Stanford University,"New York, NY",37.0,201.0,208.0,88.0,117.0
University of North Carolina at Chapel Hill,"Brooklyn, NY",172.0,33.5,245.0,88.0,117.0
University of North Carolina at Chapel Hill,"Atlanta, GA",200.5,52.5,223.0,89.0,120.0
Louisiana State University,"San Diego, CA",101.5,235.0,160.5,90.0,121.0
University of Southern California,"Oakland, CA",134.0,214.5,187.5,91.0,122.0
Ohio State University,"Cleveland, OH",230.0,178.0,58.5,91.0,122.0
Louisiana State University,"New Orleans, LA",219.5,181.0,131.5,91.0,122.0
Stanford University,"Dallas, TX",86.5,218.5,194.0,92.0,125.0
University of Arizona,"Philadelphia, PA",158.5,81.5,250.5,92.0,125.0
University of Oklahoma,"Chicago, IL",101.5,256.5,47.0,93.0,127.0
University of Alabama,"Detroit, MI",180.0,233.0,131.5,93.0,127.0
Louisiana State University,"Miami, FL",172.0,246.5,71.0,94.0,129.0
University of Oklahoma,"Los Angeles, CA",86.5,259.5,58.5,95.0,130.0
University of Texas,"Brooklyn, NY",61.5,218.5,208.0,96.0,131.0
Michigan State University,"New York, NY",237.5,125.0,173.0,96.0,131.0
University of Texas,"St. Louis, MO",86.5,239.0,177.0,96.0,131.0
Arizona State University,"Houston, TX",17.5,246.5,181.0,96.0,131.0
University of North Carolina at Chapel Hill,"Baltimore, MD",196.0,66.0,242.0,98.0,135.0
University of Minnesota,"Chicago, IL",243.5,81.5,184.5,99.0,136.0
Michigan State University,"Philadelphia, PA",249.0,97.5,168.5,100.0,137.0
Arizona State University,"New York, NY",26.5,239.0,203.5,101.0,138.0
University of Minnesota,"Los Angeles, CA",241.5,113.5,187.5,101.0,138.0
Ohio State University,"Pittsburgh, PA",221.5,214.5,84.0,101.0,138.0
University of California-Los Angeles,"Louisville, KY",230.0,113.5,208.0,103.0,141.0
Ohio State University,"New Orleans, LA",252.0,171.5,71.0,104.0,142.0
University of Oklahoma,"Houston, TX",119.5,265.5,71.0,104.0,142.0
Arizona State University,"Dallas, TX",73.5,248.0,190.0,105.0,144.0
University of Arizona,"Brooklyn, NY",142.0,125.0,272.5,105.0,144.0
Stanford University,"Brooklyn, NY",101.5,203.0,228.5,105.0,144.0
University of Michigan,"Long Beach, CA",86.5,207.5,228.5,106.0,147.0
Ohio State University,"Miami, FL",217.0,244.0,29.0,107.0,148.0
University of California-Los Angeles,"Long Beach, CA",101.5,186.5,247.5,108.0,149.0
University of Texas,"Cincinnati, OH",26.5,256.5,187.5,109.0,150.0
University of California-Los Angeles,"INpolis, IN",230.0,125.0,220.5,110.0,151.0
University of Texas,"San Francisco, CA",73.5,250.0,198.0,111.0,152.0
University of Oklahoma,"Dallas, TX",158.5,267.0,118.0,113.0,153.0
University of Oklahoma,"Detroit, MI",180.0,263.5,100.0,114.0,154.0
University of North Carolina at Chapel Hill,"Memphis, TN",226.5,113.5,232.0,114.0,154.0
University of Southern California,"Long Beach, CA",49.0,239.0,225.5,114.0,154.0
University of Texas,"San Diego, CA",17.5,263.5,192.0,115.0,157.0
University of Kentucky,"Chicago, IL",247.0,1.0,236.0,116.0,158.0
University of Arizona,"Cincinnati, OH",101.5,201.0,261.5,118.0,159.0
Arizona State University,"St. Louis, MO",119.5,253.0,201.0,118.0,159.0
Stanford University,"Cincinnati, OH",61.5,252.0,214.0,118.0,159.0
Arizona State University,"Brooklyn, NY",86.5,242.5,225.5,118.0,159.0
University of Kentucky,"Los Angeles, CA",246.0,7.5,239.0,118.0,159.0
University of Texas,"Miami, FL",134.0,269.0,153.0,119.0,164.0
University of Minnesota,"Philadelphia, PA",255.5,97.5,205.0,119.0,164.0
Stanford University,"San Francisco, CA",119.5,245.0,223.0,120.0,166.0
Indiana University,"Chicago, IL",262.0,26.0,211.5,121.0,167.0
Louisiana State University,"Long Beach, CA",134.0,233.0,239.0,122.0,168.0
Indiana University,"Los Angeles, CA",259.5,42.0,214.0,123.0,169.0
University of Arizona,"San Diego, CA",86.5,214.5,264.5,124.0,170.0
University of Texas,"Oakland, CA",119.5,250.0,220.5,124.0,170.0
Stanford University,"San Diego, CA",49.0,256.5,216.0,124.0,170.0
University of Miami,"Chicago, IL",158.5,273.0,58.5,126.0,173.0
University of Kentucky,"Houston, TX",249.0,52.5,241.0,127.0,174.0
University of Alabama,"Miami, FL",180.0,272.0,118.0,128.0,175.0
